file,segments,chars,entities
00001-2023-AI.pdf,17,131986,592
00001-2023-CC (Admisión de demanda).pdf,1,2459,24
00001-2023-CC (Inadmisible la demanda).pdf,1,8085,44
00001-2023-CC.pdf,12,93643,478
00001-2023-HC (Admisión en el PJ).pdf,1,6897,43
00001-2023-Q.pdf,1,4111,17
00001-2024-AI (Aclaración).pdf,1,7287,30
00001-2024-AI (Admisión de demanda).pdf,1,6429,36
00001-2024-AI (Amicus curiae 2).pdf,1,4333,29
00001-2024-AI (Amicus curiae).pdf,1,4323,24
00001-2024-AI (Nulidad).pdf,1,4489,35
00001-2024-AI (Tercero).pdf,1,3383,12
00001-2024-AI.pdf,12,96855,320
00001-2024-CC (Admisión de demanda).pdf,1,5838,61
00001-2024-CC (Inadmisible la demanda).pdf,1,8498,59
00001-2024-CC.pdf,7,54331,242
00001-2024-Q.pdf,1,3120,22
00001-2025-AI (Inadmisible la demanda).pdf,1,4985,31
00001-2025-Q.pdf,1,4245,17
00002-1993-AA.pdf,1,8049,45
00002-1995-HC.pdf,1,5721,30
00002-1996-AA.pdf,1,4767,24
00002-1996-AI.pdf,2,15812,103
00002-1997-AA.pdf,1,6676,24
00002-1997-CC.pdf,1,4208,50
00002-1998-AA.pdf,1,4986,17
00002-1999-AA.pdf,1,5423,26
00002-1999-CC.pdf,1,6158,84
00002-2000-AA.pdf,1,6532,30
00002-2001-AA.pdf,1,5774,46
00002-2001-AI.pdf,4,30924,95
00002-2001-CC.pdf,2,14902,74
00002-2002-AA.pdf,1,3844,13
00002-2003-AA.pdf,1,5657,26
00002-2003-AI.pdf,3,23328,95
00002-2003-CC.pdf,2,13872,86
00002-2004-AA.pdf,1,5175,26
00002-2004-CC.pdf,1,5775,49
00002-2005-AA.pdf,2,9785,32
00002-2005-AI.pdf,18,140774,740
00002-2006-AI.pdf,9,75084,247
00002-2007-AA.pdf,2,8321,22
00002-2008-AA.pdf,1,5494,18
00002-2008-AI (Auto 2- Intervención).pdf,1,2428,16
00002-2008-CC.pdf,5,35376,179
00002-2009-AA.pdf,1,7759,35
00002-2010-AA.pdf,1,7365,35
00002-2010-AI.pdf,0,0,0
00002-2011-AI.pdf,0,0,0
00002-2011-CC.pdf,10,81668,400
00002-2012-AA.pdf,1,4244,25
00002-2012-AI.pdf,1,3385,40
00002-2013-AA.pdf,1,3760,19
00002-2013-AI (Auto 3-Subsanación).pdf,1,3055,16
00002-2013-AI (Litisconsorte necesario pasivo).pdf,1,3076,19
00002-2013-AI.pdf,3,21188,97
00002-2013-CC (Aclaración).pdf,2,15135,111
00002-2013-CC (Solicitud de declaración de inejecutabilidad de resoluciones).pdf,3,21426,136
00002-2013-CC.pdf,14,114775,635
00002-2013-Q.pdf,1,6435,30
00002-2014-AC.pdf,1,4698,62
00002-2014-AI (Auto 1).pdf,2,9859,49
00002-2014-AI (Auto 2).pdf,1,2362,29
00002-2014-AI (Auto-Reposición).pdf,1,2650,25
00002-2014-CC (Reposición).pdf,1,3385,42
00002-2014-HC.pdf,3,16100,47
00002-2014-Q (Queja).pdf,1,1874,17
00002-2015-AI (Auto 1 - Calificación).pdf,2,11060,52
00002-2015-AI.pdf,1,3718,34
00002-2015-CC.pdf,1,2773,29
00002-2015-Q (Queja).pdf,1,2966,21
00002-2016-AI (Admisión de la demanda).pdf,1,7832,30
00002-2016-AI (Auto-Reposición).pdf,1,2678,20
00002-2016-AI.pdf,13,101676,385
00002-2016-CC.pdf,3,18582,130
00002-2016-PA_TC.pdf,4,27561,142
00002-2016-Q.pdf,1,3203,19
00002-2017-AI (Aclaración).pdf,2,10381,40
00002-2017-AI (Acumulación 2).pdf,1,4441,20
00002-2017-AI (Admisión de la demanda).pdf,1,3680,23
00002-2017-AI (Amicus 2).pdf,1,2956,15
00002-2017-AI (Auto - Acumulación).pdf,1,3670,29
00002-2017-AI (Auto 3- Incorporación).pdf,1,4458,21
00002-2017-AI (Auto 4- Nulidad).pdf,1,3469,26
00002-2017-AI.pdf,10,73801,383
00002-2017-Q (Queja).pdf,1,2994,16
00002-2018-AI (Admisión de la demanda).pdf,1,4446,35
00002-2018-AI (Auto 2-Intervención).pdf,1,2472,19
00002-2018-AI (Incorporación de litisconsorte 2 y de tercero).pdf,2,16107,89
00002-2018-AI (Partícipe).pdf,1,5358,41
00002-2018-AI.pdf,15,124002,620
00002-2018-CC (Admisión de la demanda).pdf,2,13064,74
00002-2018-CC.pdf,21,169052,585
00002-2018-Q.pdf,1,5421,33
00002-2019-AI (Admisión de la demanda).pdf,1,5271,32
00002-2019-CC (Admisión de la demanda).pdf,1,5856,42
00002-2019-CC.pdf,3,26465,152
00002-2019-Q (Inadmisibilidad).pdf,1,4404,24
00002-2019-Q.pdf,1,6127,33
00002-2020-AI (Improcedencia).pdf,1,3761,32
00002-2020-AI (Inadmisibilidad).pdf,3,22743,87
00002-2020-CC (Admisión de la demanda).pdf,3,25215,151
00002-2020-CC (Auto 3).pdf,1,2155,23
00002-2020-CC (Auto 4).pdf,2,10004,50
00002-2020-CC (Auto 5).pdf,1,8276,44
00002-2020-CC (Auto 6).pdf,1,8080,46
00002-2020-CC (Auto 7).pdf,1,5089,30
00002-2020-CC (Auto 8).pdf,1,7986,44
00002-2020-CC (Cautelar).pdf,6,45694,151
00002-2020-CC (Nulidad).pdf,1,2690,19
00002-2020-CC.pdf,31,242415,928
00002-2020-Q.pdf,1,7357,36
00002-2021-AI (Aclaración).pdf,1,6898,24
00002-2021-AI (Inadmisibilidad de demanda).pdf,1,7443,35
00002-2021-AI (Subsanación).pdf,1,5544,21
00002-2021-AI.pdf,11,86011,233
00002-2021-CC (Cautelar).pdf,1,1757,14
00002-2021-CC (Reposición).pdf,1,2793,21
00002-2021-Q.pdf,1,3245,20
00002-2022-AC.pdf,1,6941,26
00002-2022-AI (Admisión de la demanda).pdf,2,14947,89
00002-2022-AI (Litisconsorte facultativo).pdf,1,2269,10
00002-2022-AI (Tercero 2).pdf,1,2930,18
00002-2022-AI.pdf,16,115496,456
00002-2022-CC (Admisión de la demanda).pdf,1,7563,59
00002-2022-CC (Incorporación de tercero 2).pdf,1,7455,38
00002-2022-CC (Incorporación de tercero).pdf,0,0,0
00002-2022-CC (Reposición).pdf,0,0,0
00002-2022-CC.pdf,0,0,0
00002-2022-Q.pdf,1,6028,20
00002-2023-AI (Admisión de demanda).pdf,1,5673,53
00002-2023-AI (Improcedente la demanda y otro).pdf,4,33313,174
00002-2023-AI.pdf,18,134263,513
00002-2023-CC (Improcedente la demanda).pdf,1,2051,19
00002-2023-CC (Inadmisible la demanda).pdf,1,6853,37
00002-2023-HC.pdf,3,22920,90
00002-2023-Q.pdf,1,4638,24
00002-2024-AI (Acumulación).pdf,1,3712,35
00002-2024-AI (Admisión de demanda).pdf,3,18496,150
00002-2024-AI (Amicus curiae 1).pdf,1,2357,24
00002-2024-AI (Amicus curiae 2).pdf,3,20784,130
00002-2024-AI (Amicus curiae 4).pdf,1,4090,28
00002-2024-AI (Inadmisible la demanda).pdf,4,29359,238
00002-2024-AI (Tercero 1).pdf,0,0,0
00002-2024-AI (Tercero 2).pdf,0,0,0
00002-2024-AI.pdf,17,126210,468
00002-2024-CC (Improcedente).pdf,1,5140,36
00002-2024-CC (Inadmisible la demanda).pdf,1,7619,47
00002-2024-Q.pdf,2,12512,51
00002-2025-AI (Admisión de demanda).pdf,1,6022,39
00002-2025-AI (Inadmisible la demanda).pdf,1,5600,45
00003-1994-AA.pdf,1,7107,36
00003-1995-HC.pdf,1,2995,11
00003-1996-AI.pdf,4,26615,98
00003-1997-AA.pdf,1,4426,23
00003-1998-AA.pdf,1,6995,39
00003-1999-AA.pdf,1,5953,34
00003-2000-AA.pdf,1,6316,29
00003-2001-AC.pdf,1,4835,19
00003-2001-AI.pdf,2,16663,104
00003-2002-AA.pdf,1,2694,8
00003-2003-AA.pdf,1,3557,23
00003-2003-AI.pdf,4,28258,101
00003-2004-AA.pdf,1,2842,17
00003-2005-CC.pdf,1,6852,42
00003-2007-AC.pdf,1,3568,18
00003-2008-AA.pdf,1,5956,29
00003-2008-AI.pdf,0,0,0
00003-2008-CC.pdf,5,43111,384
00003-2009-AA.pdf,1,5789,38
00003-2009-AI.pdf,0,0,0
00003-2009-CC.pdf,0,0,0
00003-2012-AA.pdf,1,7166,50
00003-2012-AI.pdf,5,36180,223
00003-2013-AI (Aclaración).pdf,1,2750,15
00003-2013-AI (Acumulación).pdf,3,21709,109
00003-2013-AI (Admisibilidad 2).pdf,2,10392,52
00003-2013-AI (Ejecución).pdf,1,8389,47
00003-2013-AI.pdf,25,189642,747
00003-2013-CC.pdf,1,1781,20
00003-2013-Q.pdf,0,0,0
00003-2014-AI (Aclaración 1).pdf,1,6730,47
00003-2014-AI (Aclaración 2).pdf,2,11065,43
00003-2014-AI (Aclaración 3).pdf,1,8248,44
00003-2014-AI (Aclaración 4).pdf,1,8937,35
00003-2014-AI (Acumulación).pdf,1,1972,23
00003-2014-AI (Auto 1).pdf,2,10682,65
00003-2014-AI (Auto 2).pdf,1,2337,15
00003-2014-AI (Auto-Incorporaciones).pdf,2,17845,107
00003-2014-AI (Desistimiento).pdf,3,22262,109
00003-2014-AI.pdf,45,342066,1350
00003-2014-CC (Auto 1 - Procedibilidad).pdf,1,1842,15
00003-2014-HC.pdf,2,12056,59
00003-2014-Q (Queja).pdf,1,1946,7
00003-2015-AI (Auto 1 - Calificación).pdf,1,7318,28
00003-2015-AI (Auto 2 - Pedido de acumulación).pdf,1,2249,21
00003-2015-AI (Auto 2 - Reposición).pdf,1,4915,34
00003-2015-AI (Auto 4 - Reposición).pdf,1,2250,14
00003-2015-AI (Auto 5-Intervención).pdf,1,3593,30
00003-2015-AI (Auto 6-Intervención).pdf,1,3504,25
00003-2015-AI (Resolución 5 - Intervención).pdf,1,3526,32
00003-2015-AI (Resolución 6 - Intervención).pdf,1,3143,17
00003-2015-AI.pdf,20,149411,549
00003-2015-CC (Admisión de la demanda).pdf,3,18046,150
00003-2015-CC (Nulidad).pdf,1,2990,21
00003-2015-CC.pdf,6,51487,467
00003-2015-Q (Queja - Fundada).pdf,1,2895,15
00003-2015-Q (Queja).pdf,2,8443,37
00003-2016-AI (Auto 2 - Admisibilidad).pdf,1,1799,18
00003-2016-AI (Auto 3 - Acumulación).pdf,1,2377,25
00003-2016-AI (Inadmisibilidad).pdf,2,11199,52
00003-2016-AI.pdf,10,78820,338
00003-2016-CC.pdf,1,4223,29
00003-2016-Q.pdf,1,2265,23
00003-2017-AI (Admisión de la demanda).pdf,1,3459,24
00003-2017-AI (Auto 3).pdf,1,1773,12
00003-2017-AI.pdf,8,63733,246
00003-2017-Q.pdf,1,3751,20
00003-2018-AI (Admisión de la demanda).pdf,1,3745,21
00003-2018-AI.pdf,5,33773,134
00003-2018-CC.pdf,1,4111,35
00003-2018-Q.pdf,1,2953,19
00003-2019-AI (Admisión de la demanda).pdf,1,6586,31
00003-2019-AI.pdf,8,62928,309
00003-2019-CC (Improcedencia).pdf,2,10573,53
00003-2019-PI.pdf,8,62928,309
00003-2019-Q.pdf,1,4194,22
00003-2020-AI (Admisión de la demanda).pdf,1,5514,42
00003-2020-AI (Inadmisibilidad).pdf,2,13210,65
